    0.020,    1.163,    0.073,    1.683,    0.104
    0.018,    1.126,    0.069,    1.561,    0.097
    0.016,    1.092,    0.066,    1.454,    0.090
    0.014,    1.060,    0.063,    1.359,    0.084
    0.013,    1.029,    0.060,    1.272,    0.079
    0.016,    1.146,    0.064,    1.398,    0.086
    0.021,    1.270,    0.072,    1.651,    0.102
    0.020,    1.211,    0.072,    1.660,    0.103
    0.022,    1.253,    0.075,    1.748,    0.108
    0.021,    1.205,    0.074,    1.708,    0.106
    0.024,    1.296,    0.078,    1.857,    0.115
    0.031,    1.422,    0.087,    2.173,    0.134
    0.032,    1.401,    0.090,    2.269,    0.140
    0.042,    1.536,    0.102,    2.723,    0.168
    0.041,    1.502,    0.103,    2.748,    0.170
    0.044,    1.536,    0.105,    2.853,    0.176
    0.044,    1.525,    0.106,    2.869,    0.177
    0.050,    1.615,    0.112,    3.111,    0.192
    0.053,    1.634,    0.116,    3.265,    0.202
    0.053,    1.617,    0.116,    3.278,    0.203
    0.048,    1.550,    0.112,    3.103,    0.192
    0.043,    1.494,    0.106,    2.894,    0.179
    0.039,    1.448,    0.102,    2.706,    0.168
    0.036,    1.408,    0.097,    2.543,    0.158
    0.033,    1.372,    0.093,    2.403,    0.149
    0.031,    1.341,    0.090,    2.280,    0.141
    0.028,    1.312,    0.087,    2.171,    0.134
    0.027,    1.287,    0.084,    2.075,    0.129
    0.025,    1.265,    0.082,    1.990,    0.123
    0.024,    1.244,    0.080,    1.914,    0.118
    0.023,    1.226,    0.078,    1.846,    0.114
    0.022,    1.209,    0.076,    1.785,    0.111
    0.021,    1.194,    0.074,    1.730,    0.107
    0.020,    1.181,    0.073,    1.681,    0.104
    0.019,    1.168,    0.071,    1.637,    0.101
    0.018,    1.157,    0.070,    1.596,    0.099
    0.018,    1.146,    0.069,    1.559,    0.097
    0.017,    1.136,    0.068,    1.526,    0.095
    0.017,    1.127,    0.067,    1.496,    0.093
    0.016,    1.119,    0.066,    1.468,    0.091
    0.016,    1.112,    0.066,    1.443,    0.089
    0.016,    1.105,    0.065,    1.420,    0.088
    0.015,    1.099,    0.064,    1.399,    0.086
    0.015,    1.093,    0.064,    1.380,    0.085
    0.015,    1.087,    0.063,    1.362,    0.084
    0.014,    1.082,    0.062,    1.345,    0.083
    0.014,    1.076,    0.062,    1.329,    0.082
    0.014,    1.072,    0.061,    1.314,    0.081
    0.014,    1.067,    0.061,    1.301,    0.080
    0.014,    1.063,    0.061,    1.287,    0.080
    0.013,    1.060,    0.060,    1.275,    0.079
    0.013,    1.057,    0.060,    1.264,    0.078
    0.013,    1.053,    0.059,    1.254,    0.078
    0.013,    1.050,    0.059,    1.245,    0.077
    0.013,    1.047,    0.059,    1.236,    0.077
    0.013,    1.044,    0.059,    1.228,    0.076
    0.013,    1.041,    0.058,    1.220,    0.076
    0.013,    1.039,    0.058,    1.213,    0.075
